Style,Standard,,,,,,,,,,,,,,,,,,,,,,,
Append Mode,1,,,,,,,,,,,,,,,,,,,,,,,
Fill Mode,0,,,,,,,,,,,,,,,,,,,,,,,
Capacity,30000,,,,,,,,,,,,,,,,,,,,,,,
Count,11260,,,,,,,,,,,,,,,,,,,,,,,
Base Time Seconds,1709740595,,,,,,,,,,,,,,,,,,,,,,,
Base Time Fractional,0.438305,,,,,,,,,,,,,,,,,,,,,,,
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds,
102,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,4.78768E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438406,-56.8144669
103,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438407,113.628942
104,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,0.000104691,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438408,-75.7526286
105,-0.001183876,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438409,18.9381535
106,-0.00396552,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,4.78768E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.43841,-56.8144669
107,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438411,0
108,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438412,0
109,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438413,56.8144669
110,-0.002111091,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,4.78768E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438414,37.8763216
111,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,8.57532E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438415,-37.8763216
112,-0.001183876,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,4.78768E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438416,-18.9381535
113,-0.00396552,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438417,18.9381535
114,-0.00396552,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,4.78768E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438418,18.9381608
115,-0.00396552,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,6.6815E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438419,-18.9381608
116,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,4.78768E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.43842,-56.8144669
117,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438421,37.8763134
118,-0.001183876,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438422,-18.9381572
119,0.000670553,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438423,18.9381572
120,0.002524983,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438424,-37.8763134
121,0.004379412,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438425,37.8763134
122,0.006233842,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438426,18.9381535
123,0.002524983,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,4.78768E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438427,-18.9381535
124,0.003452197,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438428,-18.9381572
125,0.004379412,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438429,-18.9381562
126,0.004379412,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.43843,0
127,0.002524983,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438431,0
128,0.005306627,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438432,56.8144669
129,0.002524983,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,4.78768E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438433,0
130,0.003452197,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,4.78768E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438434,0
131,0.001597768,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,4.78768E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438435,0
132,0.000670553,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,4.78768E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438436,18.9381608
